site_id,scene_id,row,col,y0,x0,label,purity,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b
goldfield,20240925_185504_87_4001,5,18,55,198,hematite,0.7355,94.388430,67.033058,43.330579,7.677779,6.643127,5.921509
goldfield,20240925_185504_87_4001,5,31,55,341,goethite,0.8678,178.851240,130.735537,72.462810,17.479935,15.045259,11.497065
goldfield,20240925_185504_87_4001,5,32,55,352,goethite,0.7190,178.157025,132.041322,76.644628,19.419258,18.534933,15.350376
goldfield,20240925_185504_87_4001,6,18,66,198,hematite,1.0000,93.380165,62.231405,37.586777,6.003107,4.918779,5.382355
goldfield,20240925_185504_87_4001,6,19,66,209,hematite,0.9339,92.066116,60.545455,31.289256,10.902828,9.914511,8.404483
goldfield,20240925_185504_87_4001,7,19,77,209,hematite,0.7769,85.280992,54.132231,26.123967,14.747586,14.000556,10.877659
goldfield,20240925_185504_87_4001,10,22,110,242,hematite,0.8843,149.892562,111.719008,77.090909,10.712472,9.685316,8.930401
goldfield,20240925_185504_87_4001,10,24,110,264,hematite,0.7769,126.446281,91.272727,57.314050,20.707307,19.259429,16.705041
goldfield,20240925_185504_87_4001,12,37,132,407,hematite,0.9917,153.950413,123.247934,88.446281,6.956597,6.428605,5.881685
goldfield,20240925_185504_87_4001,12,38,132,418,hematite,0.7851,146.024793,115.198347,83.123967,11.838767,12.536637,12.029970
goldfield,20240925_185504_87_4001,13,17,143,187,hematite,0.7769,127.000000,94.289256,61.173554,24.020308,23.144690,18.213462
goldfield,20240925_185504_87_4001,13,38,143,418,hematite,0.9669,154.438017,125.115702,93.884298,9.853382,10.403583,9.839363
goldfield,20240925_185504_87_4001,14,17,154,187,hematite,0.7107,136.289256,105.305785,70.570248,8.769253,8.227994,6.060066
goldfield,20240925_185504_87_4001,18,57,198,627,alunite,0.8182,151.413223,125.380165,106.247934,5.031585,4.697909,3.990238
goldfield,20240925_185504_87_4001,19,56,209,616,alunite,0.7107,166.454545,142.859504,123.280992,16.782025,17.024681,14.292819
goldfield,20240925_185504_87_4001,19,57,209,627,alunite,0.8678,153.008264,128.487603,113.264463,4.208405,4.605271,4.512185
goldfield,20240925_185504_87_4001,19,58,209,638,alunite,0.7851,151.247934,127.049587,109.314050,6.370491,7.407670,6.798193
goldfield,20240925_185504_87_4001,20,58,220,638,alunite,0.7355,153.347107,129.867769,113.867769,5.695744,5.859149,5.766736
goldfield,20240925_185504_87_4001,20,59,220,649,alunite,0.8926,151.421488,129.272727,115.644628,9.897618,11.785970,11.769733
goldfield,20240925_185504_87_4001,21,17,231,187,jarosite,0.7686,157.297521,115.628099,78.090909,14.882262,17.161427,15.058563
goldfield,20240925_185504_87_4001,21,18,231,198,jarosite,0.7438,175.809917,133.611570,90.231405,13.159740,14.384549,12.934521
goldfield,20240925_185504_87_4001,21,57,231,627,alunite,0.7438,162.289256,141.140496,125.719008,10.595834,12.407879,11.058240
goldfield,20240925_185504_87_4001,21,58,231,638,alunite,0.7851,155.264463,133.314050,118.694215,5.584466,6.302345,6.431897
goldfield,20240925_185504_87_4001,21,59,231,649,alunite,0.9339,147.528926,124.900826,112.652893,7.090996,7.864981,7.552254
goldfield,20240925_185504_87_4001,21,60,231,660,alunite,0.8512,157.099174,137.851240,123.256198,11.558264,14.465497,14.698360
goldfield,20240925_185504_87_4001,22,56,242,616,alunite,0.8017,143.842975,119.834711,106.140496,5.977932,6.428690,6.191578
goldfield,20240925_185504_87_4001,22,58,242,638,alunite,0.7851,158.190083,136.801653,122.892562,8.843276,10.230904,9.347118
goldfield,20240925_185504_87_4001,22,60,242,660,alunite,0.9917,149.661157,128.107438,114.280992,6.764704,6.449808,5.969929
goldfield,20240925_185504_87_4001,22,61,242,671,alunite,0.8760,155.256198,134.818182,120.818182,9.208807,11.578692,11.307132
goldfield,20240925_185504_87_4001,23,56,253,616,alunite,0.7851,147.115702,123.157025,109.669421,4.678401,4.538191,4.441332
goldfield,20240925_185504_87_4001,23,57,253,627,alunite,0.9835,149.024793,126.727273,113.537190,6.906055,7.842457,7.113067
goldfield,20240925_185504_87_4001,23,59,253,649,alunite,0.8099,163.396694,143.933884,131.280992,4.303524,4.920417,4.146537
goldfield,20240925_185504_87_4001,23,60,253,660,alunite,0.7025,152.404959,133.000000,119.611570,12.686675,15.459892,15.102062
goldfield,20240925_185504_87_4001,23,61,253,671,alunite,1.0000,146.570248,124.239669,110.123967,5.270888,5.748194,5.290831
goldfield,20240925_185504_87_4001,24,57,264,627,alunite,0.9256,150.256198,127.694215,113.165289,8.244737,8.982851,7.774027
goldfield,20240925_185504_87_4001,24,58,264,638,alunite,0.7934,166.132231,146.016529,131.776860,12.929524,15.092543,14.884951
goldfield,20240925_185504_87_4001,24,61,264,671,alunite,0.9835,145.487603,123.487603,108.553719,7.314783,8.446346,8.414814
goldfield,20240925_185504_87_4001,24,62,264,682,alunite,0.9421,147.677686,126.834711,113.049587,8.848789,10.767526,10.704793
goldfield,20240925_185504_87_4001,25,56,275,616,alunite,0.8182,155.619835,131.619835,114.834711,18.958090,20.653480,18.024477
goldfield,20240925_185504_87_4001,25,58,275,638,alunite,0.7603,160.719008,140.057851,125.752066,10.943297,12.813537,11.965709
goldfield,20240925_185504_87_4001,25,62,275,682,alunite,0.9835,146.438017,125.570248,112.520661,8.528894,9.385083,8.564871
goldfield,20240925_185504_87_4001,25,63,275,693,alunite,0.8760,150.661157,131.082645,119.033058,16.596601,19.105011,18.657830
goldfield,20240925_185504_87_4001,25,64,275,704,alunite,0.8595,153.537190,133.247934,125.041322,14.093572,16.486549,15.189925
goldfield,20240925_185504_87_4001,26,28,286,308,hematite,0.8512,156.950413,121.603306,80.892562,9.661931,9.103155,7.452108
goldfield,20240925_185504_87_4001,26,62,286,682,alunite,0.7273,164.545455,146.512397,130.859504,24.986277,28.210283,25.209308
goldfield,20240925_185504_87_4001,26,63,286,693,alunite,0.9256,149.280992,128.743802,116.561983,7.444809,9.143962,7.701983
goldfield,20240925_185504_87_4001,26,64,286,704,alunite,0.7025,157.619835,138.454545,129.578512,18.034978,20.451111,19.936574
goldfield,20240925_185504_87_4001,27,19,297,209,goethite,0.9752,110.504132,75.504132,36.190083,25.055022,24.503035,17.606495
goldfield,20240925_185504_87_4001,27,55,297,605,alunite,0.7769,156.289256,133.677686,117.363636,16.851043,17.401061,15.975187
goldfield,20240925_185504_87_4001,27,64,297,704,alunite,1.0000,142.942149,120.371901,112.462810,6.717804,6.459195,5.608496
goldfield,20240925_185504_87_4001,28,18,308,198,goethite,0.9339,103.702479,65.165289,29.214876,20.377692,19.822913,16.622800
goldfield,20240925_185504_87_4001,28,19,308,209,goethite,1.0000,145.933884,109.380165,60.719008,23.075061,22.511065,16.531574
goldfield,20240925_185504_87_4001,28,20,308,220,goethite,0.7025,160.933884,126.247934,71.090909,32.101012,31.957172,27.321169
goldfield,20240925_185504_87_4001,28,21,308,231,goethite,0.7355,133.057851,100.074380,50.694215,17.651024,17.142169,15.092466
goldfield,20240925_185504_87_4001,28,22,308,242,goethite,0.7521,143.140496,108.512397,56.892562,17.719721,17.130088,14.086980
goldfield,20240925_185504_87_4001,28,65,308,715,alunite,0.8843,144.363636,126.115702,117.776860,22.654429,24.063343,20.576199
goldfield,20240925_185504_87_4001,28,66,308,726,alunite,0.7355,158.553719,141.173554,133.082645,23.943788,25.226471,22.824008
goldfield,20240925_185504_87_4001,29,18,319,198,goethite,0.8595,123.719008,87.867769,45.743802,24.850702,24.531626,18.217025
goldfield,20240925_185504_87_4001,29,19,319,209,goethite,0.8595,135.528926,101.595041,52.801653,22.389886,22.272756,20.538060
goldfield,20240925_185504_87_4001,29,20,319,220,goethite,0.9504,143.785124,108.851240,55.851240,15.961838,14.756235,12.003210
goldfield,20240925_185504_87_4001,29,21,319,231,goethite,0.7025,131.611570,101.123967,55.760331,10.319981,9.811084,11.346551
goldfield,20240925_185504_87_4001,29,23,319,253,goethite,0.7355,118.066116,80.628099,27.338843,16.840887,14.821880,10.776891
goldfield,20240925_185504_87_4001,29,54,319,594,alunite,0.7438,134.917355,112.892562,100.636364,15.231865,14.954919,12.536888
goldfield,20240925_185504_87_4001,30,54,330,594,alunite,0.9091,121.727273,99.206612,89.082645,6.641965,6.437131,5.783400
goldfield,20240925_185504_87_4001,30,74,330,814,alunite,0.9752,239.404959,239.702479,233.016529,11.416661,11.905721,14.108191
goldfield,20240925_185504_87_4001,31,54,341,594,alunite,0.7107,126.917355,103.752066,92.867769,8.529566,9.022727,7.738433
goldfield,20240925_185504_87_4001,31,55,341,605,alunite,0.7769,138.173554,115.561983,103.735537,24.053205,24.669348,20.844869
goldfield,20240925_185504_87_4001,32,19,352,209,goethite,0.9587,121.305785,84.446281,33.710744,16.954408,15.663798,13.386460
goldfield,20240925_185504_87_4001,33,19,363,209,goethite,0.8347,131.809917,94.016529,41.603306,19.778657,17.429899,16.591086
goldfield,20240925_185504_87_4001,35,23,385,253,jarosite,0.8512,170.388430,123.404959,81.190083,20.716254,25.188079,24.312808
goldfield,20240925_185504_87_4001,36,17,396,187,goethite,0.7769,141.413223,103.338843,59.851240,21.824874,20.324050,19.833047
goldfield,20240925_185504_87_4001,37,31,407,341,gypsum,0.8347,170.859504,143.760331,109.173554,9.065698,7.350746,5.767790
goldfield,20240925_185504_87_4001,37,32,407,352,gypsum,0.8926,153.438017,124.900826,93.859504,12.237925,11.020196,8.337217
goldfield,20240925_185504_87_4001,38,30,418,330,gypsum,0.9917,175.504132,149.074380,118.892562,10.990698,10.688037,8.827831
goldfield,20240925_185504_87_4001,38,31,418,341,gypsum,0.9339,169.190083,143.107438,112.793388,10.406859,9.448251,7.788440
goldfield,20240925_185504_87_4001,38,32,418,352,gypsum,0.9008,169.900826,142.991736,111.000000,12.583214,12.436613,10.461263
goldfield,20240925_185504_87_4001,39,30,429,330,gypsum,0.7686,178.090909,150.429752,120.628099,11.637074,9.990761,7.277421
goldfield,20240925_185504_87_4001,39,31,429,341,gypsum,0.8678,173.214876,147.297521,118.628099,12.853405,11.877922,9.715909
goldfield,20240925_185504_87_4001,39,32,429,352,gypsum,0.7521,178.355372,152.256198,121.338843,10.284273,9.425242,6.900178
goldfield,20240925_185504_87_4001,40,28,440,308,gypsum,0.8099,156.834711,125.305785,96.173554,12.578578,11.622039,9.970765
goldfield,20240925_185504_87_4001,40,29,440,319,gypsum,0.9174,157.719008,129.033058,102.702479,9.172563,8.971888,7.601266
goldfield,20240925_185504_87_4001,40,32,440,352,gypsum,0.8182,177.297521,152.454545,122.958678,12.368745,12.072782,11.371558
goldfield,20240925_185504_87_4001,41,29,451,319,gypsum,0.7025,162.545455,133.462810,103.570248,14.517587,12.995257,10.385803
goldfield,20240925_185504_87_4001,41,31,451,341,gypsum,0.7107,179.942149,154.702479,125.586777,9.194229,8.555743,7.790299
goldfield,20240925_185504_87_4001,42,31,462,341,gypsum,0.8843,180.900826,156.421488,128.024793,11.149180,9.623278,7.688634
goldfield,20240925_185504_87_4001,42,57,462,627,jarosite,0.7107,185.785124,160.272727,137.578512,11.570272,11.567981,8.794018
goldfield,20240925_185504_87_4001,44,8,484,88,jarosite,0.7107,175.330579,147.892562,120.347107,7.851292,7.828536,5.584380
goldfield,20240925_185504_87_4001,44,39,484,429,dickite,0.7769,222.371901,190.206612,165.487603,39.522801,52.457132,52.637559
goldfield,20240925_185504_87_4001,45,7,495,77,hematite,0.9174,179.834711,156.793388,130.454545,4.212039,4.061342,4.440609
goldfield,20240925_185504_87_4001,45,8,495,88,hematite,0.7190,152.421488,128.487603,105.619835,14.630858,15.054236,11.226633
goldfield,20240925_185504_87_4001,45,12,495,132,dickite,0.7355,177.752066,139.446281,107.429752,15.667137,13.567067,13.014821
goldfield,20240925_185504_87_4001,45,28,495,308,goethite,0.8264,214.206612,181.107438,126.933884,19.880185,18.670170,14.660756
goldfield,20240925_185504_87_4001,45,29,495,319,goethite,0.7851,210.198347,179.504132,127.669421,14.639254,12.347666,8.186250
goldfield,20240925_185504_87_4001,45,40,495,440,dickite,0.7769,190.429752,150.380165,126.661157,21.902423,16.841142,13.567434
goldfield,20240925_185504_87_4001,45,43,495,473,hematite,0.7025,169.264463,139.719008,121.413223,19.422986,19.189022,16.248417
goldfield,20240925_185504_87_4001,46,7,506,77,gypsum,0.8182,173.429752,150.322314,122.338843,12.504430,11.096284,9.998805
goldfield,20240925_185504_87_4001,46,18,506,198,muscovite,0.7025,196.190083,160.404959,114.206612,6.860251,5.957950,5.514695
goldfield,20240925_185504_87_4001,46,40,506,440,dickite,0.8843,205.214876,167.900826,143.322314,19.853266,14.645342,10.725897
goldfield,20240925_185504_87_4001,47,6,517,66,gypsum,0.8760,184.512397,160.115702,133.652893,7.388975,7.486837,7.883145
goldfield,20240925_185504_87_4001,47,7,517,77,gypsum,1.0000,186.909091,159.008264,123.504132,9.369372,7.713352,4.834661
goldfield,20240925_185504_87_4001,47,8,517,88,gypsum,0.9835,195.909091,168.603306,135.785124,15.301380,13.333286,9.387178
goldfield,20240925_185504_87_4001,47,18,517,198,muscovite,0.7438,195.041322,160.355372,115.223140,10.788268,8.584880,7.932033
goldfield,20240925_185504_87_4001,47,80,517,880,jarosite,0.7851,132.628099,107.826446,111.900826,8.140433,11.254147,6.941795
goldfield,20240925_185504_87_4001,48,6,528,66,gypsum,1.0000,192.033058,167.652893,139.991736,7.851866,8.062474,8.873301
goldfield,20240925_185504_87_4001,48,7,528,77,gypsum,1.0000,181.570248,157.719008,128.008264,8.810049,8.497178,7.089156
goldfield,20240925_185504_87_4001,48,39,528,429,dickite,0.7934,251.388430,224.223140,194.446281,6.842227,24.783855,25.585362
goldfield,20240925_185504_87_4001,48,43,528,473,dickite,0.7934,208.768595,174.314050,150.322314,8.070721,6.559370,6.030521
goldfield,20240925_185504_87_4001,50,21,550,231,muscovite,0.7273,126.000000,99.380165,50.000000,10.359648,10.323892,9.227161
goldfield,20240925_185504_87_4001,50,43,550,473,kaolinite,0.7355,254.900826,247.661157,209.743802,1.086392,7.942514,7.525745
goldfield,20240925_185504_87_4001,51,10,561,110,muscovite,0.8760,186.471074,175.380165,138.198347,4.532845,4.804021,7.140410
goldfield,20240925_185504_87_4001,51,19,561,209,muscovite,0.9339,127.743802,101.859504,55.454545,13.595411,12.313606,10.023938
goldfield,20240925_185504_87_4001,51,20,561,220,muscovite,0.9421,119.520661,94.181818,45.909091,4.277752,3.888954,3.066751
goldfield,20240925_185504_87_4001,51,21,561,231,muscovite,0.9008,115.636364,88.057851,40.074380,4.108045,4.202120,4.641112
goldfield,20240925_185504_87_4001,51,24,561,264,goethite,0.7355,139.396694,104.909091,51.404959,15.448383,17.315736,14.736012
goldfield,20240925_185504_87_4001,51,26,561,286,goethite,0.8512,135.917355,92.611570,41.223140,46.227177,42.228495,34.687147
goldfield,20240925_185504_87_4001,51,29,561,319,goethite,0.9256,168.462810,118.099174,67.057851,16.540979,12.043588,9.653756
goldfield,20240925_185504_87_4001,51,30,561,330,goethite,0.9256,161.264463,114.272727,66.884298,11.957755,9.085453,6.560828
goldfield,20240925_185504_87_4001,51,41,561,451,gypsum,0.8430,255.000000,252.388430,220.661157,0.000000,5.631041,9.204341
goldfield,20240925_185504_87_4001,51,42,561,462,gypsum,0.7107,255.000000,254.239669,219.140496,0.000000,1.758215,6.437629
goldfield,20240925_185504_87_4001,52,18,572,198,muscovite,0.8926,133.413223,107.297521,60.975207,9.870793,8.668976,7.018821
goldfield,20240925_185504_87_4001,52,19,572,209,muscovite,0.9917,111.834711,86.057851,43.314050,3.706923,4.254890,4.403292
goldfield,20240925_185504_87_4001,52,20,572,220,muscovite,0.9752,113.264463,87.033058,39.842975,3.159058,3.501909,2.948619
goldfield,20240925_185504_87_4001,52,21,572,231,muscovite,0.8595,118.892562,90.280992,39.942149,4.105633,3.937997,3.021404
goldfield,20240925_185504_87_4001,52,24,572,264,goethite,0.8017,135.016529,99.049587,44.504132,20.798118,20.559469,17.474479
goldfield,20240925_185504_87_4001,52,28,572,308,alunite,0.8843,222.223140,185.479339,133.371901,32.432635,42.578678,39.876075
goldfield,20240925_185504_87_4001,52,30,572,330,goethite,0.8182,191.107438,140.900826,87.289256,20.670097,16.530165,15.573573
goldfield,20240925_185504_87_4001,52,40,572,440,gypsum,0.8017,254.892562,252.338843,220.148760,1.176925,5.930108,15.141569
goldfield,20240925_185504_87_4001,52,41,572,451,gypsum,0.9917,255.000000,254.851240,227.859504,0.000000,0.924069,7.381354
goldfield,20240925_185504_87_4001,52,43,572,473,gypsum,0.7686,245.570248,221.396694,175.537190,15.717983,30.955441,33.441460
goldfield,20240925_185504_87_4001,52,71,572,781,goethite,0.8926,143.173554,112.785124,89.917355,28.090373,25.325062,21.033066
goldfield,20240925_185504_87_4001,52,72,572,792,goethite,0.9008,145.677686,114.743802,94.578512,46.221210,41.583239,34.218972
goldfield,20240925_185504_87_4001,53,18,583,198,muscovite,0.9256,125.280992,101.123967,54.636364,7.016183,6.343566,4.944318
goldfield,20240925_185504_87_4001,53,19,583,209,muscovite,0.8843,111.347107,86.504132,42.801653,4.372549,5.595340,4.799483
goldfield,20240925_185504_87_4001,53,20,583,220,muscovite,1.0000,108.867769,80.900826,35.553719,2.981880,2.980390,2.499423
goldfield,20240925_185504_87_4001,53,21,583,231,muscovite,0.9174,110.834711,81.487603,32.264463,4.420738,3.958704,3.892711
goldfield,20240925_185504_87_4001,53,28,583,308,alunite,0.9174,225.000000,191.685950,139.214876,24.610688,30.823688,27.677663
goldfield,20240925_185504_87_4001,53,40,583,440,gypsum,0.7355,254.892562,249.975207,209.942149,1.176925,7.937215,13.369076
goldfield,20240925_185504_87_4001,53,41,583,451,gypsum,0.8926,254.801653,252.016529,216.404959,1.072726,6.117288,14.683199
goldfield,20240925_185504_87_4001,53,42,583,462,gypsum,0.9339,254.347107,251.314050,224.198347,3.571491,10.983107,21.391904
goldfield,20240925_185504_87_4001,53,70,583,770,goethite,0.9091,141.942149,108.396694,83.347107,43.555474,32.251460,21.644273
goldfield,20240925_185504_87_4001,54,5,594,55,gypsum,0.7686,176.644628,153.396694,126.322314,7.462146,6.317337,6.267079
goldfield,20240925_185504_87_4001,54,18,594,198,muscovite,0.7851,122.264463,97.975207,50.793388,6.646653,5.486968,4.453464
goldfield,20240925_185504_87_4001,54,20,594,220,muscovite,0.7603,109.148760,83.851240,38.231405,4.700380,4.710918,3.752157
goldfield,20240925_185504_87_4001,54,24,594,264,goethite,0.7190,167.008264,134.884298,68.008264,18.193858,16.397536,14.370824
goldfield,20240925_185504_87_4001,54,67,594,737,goethite,0.7273,99.115702,69.867769,52.380165,36.395484,32.973303,25.282946
goldfield,20240925_185504_87_4001,55,5,605,55,gypsum,0.7438,172.652893,151.942149,125.867769,16.061200,14.669526,12.093945
goldfield,20240925_185504_87_4001,55,67,605,737,goethite,0.8347,132.735537,104.041322,81.099174,39.628808,34.360365,25.847424
goldfield,20240925_185504_87_4001,56,5,616,55,gypsum,0.7521,159.520661,142.049587,120.396694,17.943483,15.731661,12.023723
goldfield,20240925_185504_87_4001,56,7,616,77,muscovite,0.7273,163.198347,146.181818,131.487603,15.909673,15.085979,12.624334
goldfield,20240925_185504_87_4001,56,8,616,88,gypsum,0.7273,168.966942,150.884298,132.115702,26.417792,27.122980,24.364379
goldfield,20240925_185504_87_4001,56,17,616,187,kaolinite,0.7273,137.933884,110.966942,56.975207,5.899623,5.451414,4.750751
goldfield,20240925_185504_87_4001,56,21,616,231,jarosite,0.7190,91.900826,61.842975,17.066116,14.230920,13.574410,10.650523
goldfield,20240925_185504_87_4001,56,26,616,286,goethite,0.7934,173.933884,136.090909,75.090909,21.640082,22.666099,22.327761
goldfield,20240925_185504_87_4001,56,30,616,330,goethite,0.8017,183.148760,142.454545,87.471074,10.188846,10.807099,12.533640
goldfield,20240925_185504_87_4001,56,39,616,429,gypsum,0.9339,255.000000,253.429752,218.578512,0.000000,4.430970,13.047119
goldfield,20240925_185504_87_4001,56,52,616,572,jarosite,0.8512,165.074380,148.826446,121.677686,5.734001,4.852668,3.300926
goldfield,20240925_185504_87_4001,56,54,616,594,jarosite,0.8678,159.033058,136.454545,103.727273,6.242925,5.608435,4.708003
goldfield,20240925_185504_87_4001,56,55,616,605,jarosite,0.8017,143.107438,117.826446,88.107438,14.031135,13.587596,10.442920
goldfield,20240925_185504_87_4001,56,56,616,616,goethite,0.7603,94.809917,67.247934,43.991736,23.280295,22.637014,19.869615
goldfield,20240925_185504_87_4001,57,5,627,55,gypsum,0.9256,181.148760,160.462810,132.495868,7.929088,6.293170,3.675076
goldfield,20240925_185504_87_4001,57,7,627,77,muscovite,0.7603,155.355372,135.958678,121.909091,23.838943,22.206915,19.327965
goldfield,20240925_185504_87_4001,57,19,627,209,jarosite,0.8347,120.033058,95.041322,42.256198,4.734145,5.215040,4.044237
goldfield,20240925_185504_87_4001,57,20,627,220,jarosite,0.7851,98.917355,72.173554,24.512397,13.798782,13.420521,10.370106
goldfield,20240925_185504_87_4001,57,21,627,231,jarosite,0.7851,70.851240,44.603306,8.644628,21.665245,22.395941,12.807448
goldfield,20240925_185504_87_4001,57,30,627,330,goethite,0.9504,180.016529,141.669421,86.826446,6.310143,5.894932,4.597300
goldfield,20240925_185504_87_4001,57,31,627,341,goethite,0.7107,185.818182,149.652893,97.000000,8.830825,8.989168,8.442318
goldfield,20240925_185504_87_4001,57,39,627,429,kaolinite,0.8678,246.074380,221.900826,179.917355,8.923148,16.787641,15.055043
goldfield,20240925_185504_87_4001,57,52,627,572,jarosite,0.7521,147.801653,132.429752,107.280992,5.469102,5.646364,5.249515
goldfield,20240925_185504_87_4001,57,53,627,583,jarosite,1.0000,154.000000,136.834711,109.537190,4.455473,4.415126,4.234922
goldfield,20240925_185504_87_4001,57,54,627,594,jarosite,0.9339,148.380165,127.115702,95.371901,6.916570,7.047877,7.525310
goldfield,20240925_185504_87_4001,57,56,627,616,goethite,0.7273,85.355372,57.950413,34.578512,34.782883,31.473156,24.615977
goldfield,20240925_185504_87_4001,58,19,638,209,jarosite,0.8017,115.107438,88.322314,36.966942,11.524893,12.932894,10.531287
goldfield,20240925_185504_87_4001,58,29,638,319,dickite,0.7107,174.272727,143.239669,92.132231,10.430407,11.297645,8.917382
goldfield,20240925_185504_87_4001,58,38,638,418,kaolinite,0.7273,238.867769,217.132231,176.157025,23.462980,30.548144,27.876649
goldfield,20240925_185504_87_4001,58,39,638,429,kaolinite,0.8760,252.487603,234.669421,192.619835,7.332838,13.135271,10.594132
goldfield,20240925_185504_87_4001,58,40,638,440,kaolinite,0.8595,249.008264,221.909091,179.380165,8.488686,13.705280,12.906054
goldfield,20240925_185504_87_4001,58,53,638,583,jarosite,0.9835,140.644628,122.991736,96.851240,9.938538,9.548048,8.395848
goldfield,20240925_185504_87_4001,59,21,649,231,goethite,0.9835,158.289256,117.099174,62.950413,22.716884,24.095336,18.501218
goldfield,20240925_185504_87_4001,59,22,649,242,goethite,0.8017,171.809917,141.272727,75.818182,23.022919,25.812099,18.521821
goldfield,20240925_185504_87_4001,59,28,649,308,muscovite,0.8264,169.661157,145.826446,95.644628,7.709127,7.183173,5.551948
goldfield,20240925_185504_87_4001,59,29,649,319,dickite,0.7686,186.925620,161.008264,107.206612,6.705327,6.458380,5.627438
goldfield,20240925_185504_87_4001,59,30,649,330,dickite,0.9504,189.173554,162.371901,111.661157,5.619737,5.457775,5.698418
goldfield,20240925_185504_87_4001,59,53,649,583,jarosite,0.8760,128.479339,110.925620,85.000000,4.000205,3.340622,3.201239
goldfield,20240925_185504_87_4001,59,54,649,594,jarosite,0.9421,143.140496,124.148760,95.008264,11.974012,11.841000,10.688293
goldfield,20240925_185504_87_4001,59,55,649,605,jarosite,0.7355,109.000000,90.942149,71.330579,39.747966,36.376429,30.208474
goldfield,20240925_185504_87_4001,59,56,649,616,jarosite,0.7355,130.305785,114.553719,96.867769,68.708492,64.249507,53.603217
goldfield,20240925_185504_87_4001,60,5,660,55,gypsum,0.7851,202.520661,173.677686,143.264463,11.612973,10.827128,10.359464
goldfield,20240925_185504_87_4001,60,21,660,231,goethite,0.9752,163.413223,134.057851,66.694215,27.305032,26.423536,20.476087
goldfield,20240925_185504_87_4001,60,22,660,242,goethite,0.7769,170.661157,145.289256,77.066116,25.784727,25.214268,17.675091
goldfield,20240925_185504_87_4001,60,29,660,319,muscovite,0.7025,178.586777,157.570248,105.619835,8.740208,9.514518,7.794103
goldfield,20240925_185504_87_4001,60,31,660,341,dickite,0.8843,187.661157,165.669421,121.099174,8.300706,7.529982,4.986602
goldfield,20240925_185504_87_4001,60,32,660,352,dickite,0.9669,198.297521,174.289256,128.495868,3.995131,3.465146,3.704195
goldfield,20240925_185504_87_4001,60,54,660,594,jarosite,0.7273,132.892562,113.694215,86.884298,6.600528,5.569757,5.549462
